time	X11	X12	X13	X14	X21	X22	X31	X32	X33	Y1	Y2	Y3
2060.0	12.2	269.10988	0.0	697.90387	269.10988	0.0	269.10988	0.0	697.90387	12.418541	38.903563	12.2
2070.0	12.2	261.4628	0.0	725.8534	261.4628	0.0	261.4628	0.0	725.8534	12.396349	38.862684	12.2
2080.0	12.2	277.99606	0.0	773.48532	277.99606	0.0	277.99606	0.0	773.48532	12.356626	38.821252	12.2
2090.0	12.2	289.07476	0.0	797.0056	289.07476	0.0	289.07476	0.0	797.0056	12.335896	38.777321	12.2
2100.0	12.2	293.19021	0.0	774.78979	293.19021	0.0	293.19021	0.0	774.78979	12.353217	38.732301	12.2
2110.0	12.2	268.27819	0.0	813.6552	268.27819	0.0	268.27819	0.0	813.6552	12.320673	38.688654	12.2
2120.0	12.2	252.28884	0.0	784.51728	252.28884	0.0	252.28884	0.0	784.51728	12.345974	38.648648	12.2
2130.0	12.2	246.3523	0.0	800.55324	246.3523	0.0	246.3523	0.0	800.55324	12.333872	38.610214	12.2
2140.0	12.2	316.59995	0.0	847.02362	316.59995	0.0	316.59995	0.0	847.02362	12.295489	38.567495	12.2
2150.0	12.2	361.14857	0.0	881.20376	361.14857	0.0	361.14857	0.0	881.20376	12.266114	38.514603	12.2
2160.0	12.2	377.68618	0.0	814.44037	377.68618	0.0	377.68618	0.0	814.44037	12.320443	38.457334	12.2
2170.0	12.2	345.49556	0.0	769.95389	345.49556	0.0	345.49556	0.0	769.95389	12.356997	38.40102	12.2
2180.0	12.2	323.76845	0.0	731.41956	323.76845	0.0	323.76845	0.0	731.41956	12.389854	38.349601	12.2
2190.0	12.2	315.69672	0.0	734.26307	315.69672	0.0	315.69672	0.0	734.26307	12.388808	38.300318	12.2
2200.0	12.2	216.95304	0.0	775.8701	216.95304	0.0	216.95304	0.0	775.8701	12.354821	38.258255	12.2
2210.0	12.2	261.61697	0.0	803.53936	261.61697	0.0	261.61697	0.0	803.53936	12.331181	38.218792	12.2
2220.0	12.2	223.60846	0.0	807.44376	223.60846	0.0	223.60846	0.0	807.44376	12.326612	38.181798	12.2
2230.0	12.2	318.15872	0.0	769.54633	318.15872	0.0	318.15872	0.0	769.54633	12.357354	38.141228	12.2
2240.0	12.2	380.97367	0.0	724.68914	380.97367	0.0	380.97367	0.0	724.68914	12.395144	38.086461	12.2
2250.0	12.2	404.3054	0.0	714.11369	404.3054	0.0	404.3054	0.0	714.11369	12.405238	38.025519	12.2
2260.0	12.2	304.7141	0.0	774.4646	304.7141	0.0	304.7141	0.0	774.4646	12.355921	37.969564	12.2
2270.0	12.2	240.13945	0.0	821.16514	240.13945	0.0	240.13945	0.0	821.16514	12.316776	37.928281	12.2
2280.0	12.2	216.16111	0.0	838.19933	216.16111	0.0	216.16111	0.0	838.19933	12.301361	37.893345	12.2
2290.0	12.2	373.81739	0.0	809.90725	373.81739	0.0	373.81739	0.0	809.90725	12.323845	37.84957	12.2
2300.0	12.2	282.92801	0.0	762.30049	282.92801	0.0	282.92801	0.0	762.30049	12.363558	37.801533	12.2
2310.0	12.2	305.24884	0.0	693.73663	305.24884	0.0	305.24884	0.0	693.73663	12.42183	37.755827	12.2
